id,name,img,types,bio,evolutions
#0001,Bulbasaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/001.png,"'Grass,Poison'","For some time after its birth, it uses the nutrients that are packed into the seed on its back in order to grow.","'Ivysaur,Venusaur'"
#0002,Ivysaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/002.png,"'Grass,Poison'","The more sunlight Ivysaur bathes in, the more strength wells up within it, allowing the bud on its back to grow larger.",'Venusaur'
#0003,Venusaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/003.png,"'Grass,Poison'","While it basks in the sun, it can convert the light into energy. As a result, it is more powerful in the summertime.
",
#0004,Charmander,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/004.png,'Fire',"The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly.","'Charmeleon,Charizard'"
#0005,Charmeleon,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/005.png,'Fire',"When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents.",'Charizard'
#0006,Charizard,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/006.png,"'Fire,Flying'","If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade.",
#0007,Squirtle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/007.png,'Water',"After birth, its back swells and hardens into a shell. It sprays a potent foam from its mouth.","'Wartortle,Blastoise'"
#0008,Wartortle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/008.png,'Water',"Wartortle’s long, furry tail is a symbol of longevity, so this Pokémon is quite popular among older people.",'Blastoise'
#0009,Blastoise,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/009.png,'Water',It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.,
#0010,Caterpie,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/010.png,'Bug',"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.","'Metapod,Butterfree'"
#0011,Metapod,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/011.png,'Bug',"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",'Butterfree'
#0012,Butterfree,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/012.png,"'Bug,Flying'",It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,
#0013,Weedle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/013.png,"'Bug,Poison'",Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,"'Kakuna,Beedrill'"
#0014,Kakuna,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/014.png,"'Bug,Poison'","Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",'Beedrill'
#0015,Beedrill,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/015.png,"'Bug,Poison'",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,
#0016,Pidgey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/016.png,"'Normal,Flying'","Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.","'Pidgeotto,Pidgeot'"
#0017,Pidgeotto,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/017.png,"'Normal,Flying'",This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,'Pidgeot'
#0018,Pidgeot,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/018.png,"'Normal,Flying'","This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",
#0019,Rattata,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/019.png,'Normal',"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",'Raticate'
#0020,Raticate,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/020.png,'Normal',"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",
#0021,Spearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/021.png,"'Normal,Flying'","Inept at flying high. However, it can fly around very fast to protect its territory.",'Fearow'
#0022,Fearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/022.png,"'Normal,Flying'","A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",
#0023,Ekans,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/023.png,'Poison',"It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.",'Arbok'
#0024,Arbok,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/024.png,'Poison',The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,
#0025,Pikachu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/025.png,'Electric',"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",'Raichu'
#0026,Raichu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/026.png,'Electric',"Its tail discharges electricity into the ground, protecting it from getting shocked.",
#0027,Sandshrew,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/027.png,'Ground',"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks.",'Sandslash'
#0028,Sandslash,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/028.png,'Ground',It is adept at attacking with the spines on its back and its sharp claws while quickly scurrying about.,
#0029,Nidoran♀,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/029.png,'Poison',"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.","'Nidorina,Nidoqueen'"
#0030,Nidorina,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/030.png,'Poison',The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,'Nidoqueen'
#0031,Nidoqueen,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/031.png,"'Poison,Ground'","Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",
#0032,Nidoran♂,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/032.png,'Poison',"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.","'Nidorino,Nidoking'"
#0033,Nidorino,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/033.png,'Poison',"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",'Nidoking'
#0034,Nidoking,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/034.png,"'Poison,Ground'","When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",
#0035,Clefairy,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/035.png,'Fairy',"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float.",'Clefable'
#0036,Clefable,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/036.png,'Fairy',"Said to live in quiet, remote mountains, this type of fairy has a strong aversion to being seen.",
#0037,Vulpix,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/037.png,'Fire',"If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes.",'Ninetales'
#0038,Ninetales,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/038.png,'Fire',Some legends claim that each of its nine tails has its own unique type of special mystical power.,
#0039,Jigglypuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/039.png,"'Normal,Fairy'","When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep.",'Wigglytuff'
#0040,Wigglytuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/040.png,"'Normal,Fairy'","It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam.",
#0041,Zubat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/041.png,"'Poison,Flying'","It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",'Golbat'
#0042,Golbat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/042.png,"'Poison,Flying'","It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",
#0043,Oddish,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/043.png,"'Grass,Poison'","Its scientific name is Oddium wanderus. It is said to cover distances as far as 1,000 feet when night falls, walking on its two roots.","'Gloom,Vileplume'"
#0044,Gloom,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/044.png,"'Grass,Poison'",The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,'Vileplume'
#0045,Vileplume,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/045.png,"'Grass,Poison'","The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen.",
#0046,Paras,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/046.png,"'Bug,Grass'",Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,'Parasect'
#0047,Parasect,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/047.png,"'Bug,Grass'",The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,
#0048,Venonat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/048.png,"'Bug,Poison'",Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,'Venomoth'
#0049,Venomoth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/049.png,"'Bug,Poison'","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",
#0050,Diglett,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/050.png,'Ground',"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground.",'Dugtrio'
#0051,Dugtrio,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/051.png,'Ground',"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.",
#0052,Meowth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/052.png,'Normal',"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",'Persian'
#0053,Persian,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/053.png,'Normal',"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",
#0054,Psyduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/054.png,'Water',"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",'Golduck'
#0055,Golduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/055.png,'Water',"When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.",
#0056,Mankey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/056.png,'Fighting',"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.",'Primeape'
#0057,Primeape,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/057.png,'Fighting',It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,
#0058,Growlithe,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/058.png,'Fire',It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,'Arcanine'
#0059,Arcanine,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/059.png,'Fire',An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.,
#0060,Poliwag,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/060.png,'Water',The swirl on its belly is its insides showing through the skin. It appears more clearly after Poliwag eats.,"'Poliwhirl,Poliwrath'"
#0061,Poliwhirl,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/061.png,'Water',"Its two legs are well developed. Even though it can live on the ground, it prefers living in water.",'Poliwrath'
#0062,Poliwrath,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/062.png,"'Water,Fighting'","Although it’s skilled in a style of dynamic swimming that uses all its muscles, for some reason it lives on dry land.",
#0063,Abra,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/063.png,'Psychic',This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,"'Kadabra,Alakazam'"
#0064,Kadabra,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/064.png,'Psychic',"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",'Alakazam'
#0065,Alakazam,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/065.png,'Psychic',"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",
#0066,Machop,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/066.png,'Fighting',"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.","'Machoke,Machamp'"
#0067,Machoke,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/067.png,'Fighting',"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",'Machamp'
#0068,Machamp,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/068.png,'Fighting',"It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds.",
#0069,Bellsprout,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/069.png,"'Grass,Poison'","No matter what Bellsprout is doing, if it detects movement nearby, it will immediately react by reaching out with its thin vines.","'Weepinbell,Victreebell'"
#0070,Weepinbell,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/070.png,"'Grass,Poison'","Even though it is filled with acid, it does not melt because it also oozes a protective fluid.",'Victreebell'
#0071,Victreebel,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/071.png,"'Grass,Poison'",It lures prey into its mouth with a nectar-like aroma. The helpless prey is melted with a dissolving fluid.,
#0072,Tentacool,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/072.png,"'Water,Poison'","When the tide goes out, dehydrated Tentacool can be found left behind on the shore.",'Tentacruel'
#0073,Tentacruel,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/073.png,"'Water,Poison'","On the rare occasions that large outbreaks of Tentacruel occur, all fish Pokémon disappear from the surrounding sea.",
#0074,Geodude,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/074.png,"'Rock,Ground'","At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.","'Graveler,Golem'"
#0075,Graveler,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/075.png,"'Rock,Ground'","A slow walker, it rolls to move. It pays no attention to any object that happens to be in its path.",'Golem'
#0076,Golem,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/076.png,"'Rock,Ground'",It is enclosed in a hard shell that is as rugged as slabs of rock. It sheds skin once a year to grow larger.,
#0077,Ponyta,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/077.png,'Fire',"About an hour after birth, Ponyta’s fiery mane and tail grow out, giving the Pokémon an impressive appearance.",'Rapidash'
#0078,Rapidash,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/078.png,'Fire',"It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow.",
